,0,1,2,3
0,1.0,2.0,1105.85,4.0
1,1.0,46.0,372.7,4.0
2,3.0,4.0,353.07,4.0
3,3.0,716.0,198.78,0.0
4,4.0,11.0,324.0,4.0
5,5.0,6.0,1998.62,0.0
6,5.0,363.0,1762.41,4.0
7,5.0,807.0,1211.86,0.0
8,7.0,8.0,1009.42,0.0
9,7.0,8.0,1021.79,0.0
10,7.0,436.0,1065.48,4.0
11,7.0,710.0,1570.29,0.0
12,8.0,321.0,245.0,4.0
13,9.0,10.0,667.6,6.0
14,11.0,84.0,271.99,4.0
15,12.0,13.0,431.37,4.0
16,12.0,713.0,161.7,4.0
17,12.0,127.0,674.23,4.0
18,13.0,362.0,192.32,0.0
19,14.0,15.0,284.25,4.0
20,14.0,305.0,1675.34,4.0
21,15.0,354.0,589.69,0.0
22,16.0,17.0,117.41,4.0
23,18.0,19.0,309.07,0.0
24,18.0,179.0,207.38,0.0
25,18.0,179.0,205.39,0.0
26,19.0,816.0,2351.25,0.0
27,20.0,21.0,139.57,1.0
28,20.0,355.0,281.22,5.0
29,20.0,904.0,247.04,5.0
30,21.0,335.0,1788.01,3.0
31,22.0,23.0,355.13,4.0
32,22.0,23.0,343.75,4.0
33,22.0,22.0,791.69,1.0
34,22.0,254.0,206.71,1.0
35,22.0,254.0,213.74,1.0
36,23.0,728.0,1329.76,4.0
37,24.0,25.0,1150.0,0.0
38,25.0,726.0,1001.35,1.0
39,26.0,27.0,1863.89,4.0
40,26.0,214.0,414.76,0.0
41,28.0,29.0,208.25,4.0
42,30.0,31.0,207.21,4.0
43,31.0,32.0,1.02,4.0
44,31.0,33.0,414.48,4.0
45,34.0,35.0,417.45,4.0
46,36.0,37.0,706.53,1.0
47,36.0,133.0,434.26,4.0
48,36.0,315.0,10.66,4.0
49,36.0,981.0,1273.27,3.0
50,36.0,981.0,1273.27,-1.0
51,37.0,792.0,140.54,4.0
52,38.0,39.0,83.97,1.0
53,38.0,184.0,4417.25,0.0
54,40.0,41.0,736.72,4.0
55,41.0,470.0,335.71,3.0
56,42.0,43.0,772.85,1.0
