,tail,head,existing_f,fullname,fromname,toname,start,end,line,path_codes,dist,geometry
0,0,1,Shared Roadway,E 45TH AVE,N WASHINGTON ST,N BROADWAY/W 44TH AVE,POINT (-104.9876 39.7783),POINT (-104.9792 39.7783),"LINESTRING (-104.9876 39.7783, -104.9792 39.7783)",4,1110.51,"LINESTRING (-104.9876 39.7783, -104.9792 39.7783)"
1,3,4,Bike Lane,W 17TH AVE,W LAKESHORE DR/N NEWTON ST,N ZENOBIA ST,POINT (-105.037 39.744),POINT (-105.0393 39.744),"LINESTRING (-105.037 39.744, -105.0393 39.744)",0,304.38,"LINESTRING (-105.037 39.744, -105.0393 39.744)"
2,4,5,Bike Lane,W 17TH AVE,W LAKESHORE DR/N NEWTON ST,N ZENOBIA ST,POINT (-105.0393 39.744),POINT (-105.0487 39.744),"LINESTRING (-105.0393 39.744, -105.0487 39.744)",0,1243.97,"LINESTRING (-105.0393 39.744, -105.0487 39.744)"
3,5,6,Bike Lane,W 17TH AVE,W LAKESHORE DR/N NEWTON ST,N ZENOBIA ST,POINT (-105.0487 39.744),POINT (-105.0521 39.744),"LINESTRING (-105.0487 39.744, -105.0521 39.744)",0,449.94,"LINESTRING (-105.0487 39.744, -105.0521 39.744)"
4,7,8,Bike Lane,S YOSEMITE ST,S YOSEMITE ST,PRIVATE RD,POINT (-104.884874999584 39.6599500000938),POINT (-104.8848 39.6572),"LINESTRING (-104.884874999584 39.6599500000938, -104.8848 39.6572)",0,472.55,"LINESTRING (-104.884874999584 39.6599500000938, -104.8848 39.6572)"
5,8,9,Bike Lane,S YOSEMITE ST,S YOSEMITE ST,PRIVATE RD,POINT (-104.8848 39.6572),POINT (-104.8848 39.6545),"LINESTRING (-104.8848 39.6572, -104.8848 39.6545)",0,463.88,"LINESTRING (-104.8848 39.6572, -104.8848 39.6545)"
6,2,10,Shared Roadway,W 11TH AVE,N MARIPOSA ST,N OSAGE ST,POINT (-105.0028 39.7337),POINT (-105.0053 39.7337),"LINESTRING (-105.0028 39.7337, -105.0053 39.7337)",4,331.0,"LINESTRING (-105.0028 39.7337, -105.0053 39.7337)"
7,15,16,Buffered Bike Lane,14TH ST,W COLFAX AVE/N BANNOCK ST,COURT PL,POINT (-104.990200000145 39.7401500001716),POINT (-104.9911 39.7406),"LINESTRING (-104.990200000145 39.7401500001716, -104.9911 39.7406)",1,141.94,"LINESTRING (-104.990200000145 39.7401500001716, -104.9911 39.7406)"
8,17,18,Shared Roadway,E PRINCETON AVE,S QUEBEC ST,E EASTMOOR DR,POINT (-104.905250000036 39.6405500000107),POINT (-104.9044 39.6411000000429),"LINESTRING (-104.905250000036 39.6405500000107, -104.9044 39.6411000000429)",4,147.27,"LINESTRING (-104.905250000036 39.6405500000107, -104.9044 39.6411000000429)"
9,18,19,Shared Roadway,E PRINCETON AVE,S QUEBEC ST,E EASTMOOR DR,POINT (-104.9044 39.6411000000429),POINT (-104.9029 39.6411),"LINESTRING (-104.9044 39.6411000000429, -104.9029 39.6411)",4,199.29,"LINESTRING (-104.9044 39.6411000000429, -104.9029 39.6411)"
